Job_Title,Company,Experience,Skills
Data Science Associate,ZS,1-2 Yrs,generative AI
Data Science Associate,ZS,1-2 Yrs,Data Science
Data Science Associate,ZS,1-2 Yrs,Retrieval Augmented Generation
Data Science Associate,ZS,1-2 Yrs,Predictive Modeling
Data Science Associate,ZS,1-2 Yrs,Logistic Regression
Data Science Associate,ZS,1-2 Yrs,Artificial Intelligence
Data Science Associate,ZS,1-2 Yrs,Natural Language Processing
Data Science Associate,ZS,1-2 Yrs,Neural Networks
Data Scientist - NLP Focused,Siemens,5-10 Yrs,data scientist
Data Scientist - NLP Focused,Siemens,5-10 Yrs,rest
Data Scientist - NLP Focused,Siemens,5-10 Yrs,python
Data Scientist - NLP Focused,Siemens,5-10 Yrs,data analysis
Data Scientist - NLP Focused,Siemens,5-10 Yrs,natural language processing
Data Scientist - NLP Focused,Siemens,5-10 Yrs,forecasting
Data Scientist - NLP Focused,Siemens,5-10 Yrs,nltk
Data Scientist - NLP Focused,Siemens,5-10 Yrs,data mining
Intern - Data Modeler,Crisil,0-2 Yrs,semantic
Intern - Data Modeler,Crisil,0-2 Yrs,python
Intern - Data Modeler,Crisil,0-2 Yrs,modeling
Intern - Data Modeler,Crisil,0-2 Yrs,rdbms
Intern - Data Modeler,Crisil,0-2 Yrs,analytical
Intern - Data Modeler,Crisil,0-2 Yrs,problem solving
Intern - Data Modeler,Crisil,0-2 Yrs,er studio
Intern - Data Modeler,Crisil,0-2 Yrs,dimensional modeling
GEN AI/Data Scientist,Capgemini,5-10 Yrs,Generative Ai
GEN AI/Data Scientist,Capgemini,5-10 Yrs,Python
GEN AI/Data Scientist,Capgemini,5-10 Yrs,Data Science
GEN AI/Data Scientist,Capgemini,5-10 Yrs,Machine Learning
GEN AI/Data Scientist,Capgemini,5-10 Yrs,Artificial Intelligence
GEN AI/Data Scientist,Capgemini,5-10 Yrs,Data
GEN AI/Data Scientist,Capgemini,5-10 Yrs,Machine
GEN AI/Data Scientist,Capgemini,5-10 Yrs,Science
Data Engineer,Barclaycard Payments,3-5 Yrs,hive
Data Engineer,Barclaycard Payments,3-5 Yrs,python
Data Engineer,Barclaycard Payments,3-5 Yrs,data analysis
Data Engineer,Barclaycard Payments,3-5 Yrs,data analytics
Data Engineer,Barclaycard Payments,3-5 Yrs,scala
Data Engineer,Barclaycard Payments,3-5 Yrs,data warehousing
Data Engineer,Barclaycard Payments,3-5 Yrs,microsoft azure
Data Engineer,Barclaycard Payments,3-5 Yrs,pyspark
Advanced Data Science Consultant,ZS,6-9 Yrs,data science
Advanced Data Science Consultant,ZS,6-9 Yrs,Data Engineering
Advanced Data Science Consultant,ZS,6-9 Yrs,Engineering Tools
Advanced Data Science Consultant,ZS,6-9 Yrs,Reinforcement Learning
Advanced Data Science Consultant,ZS,6-9 Yrs,Programming
Advanced Data Science Consultant,ZS,6-9 Yrs,Research
Advanced Data Science Consultant,ZS,6-9 Yrs,Analytics
Advanced Data Science Consultant,ZS,6-9 Yrs,R
Data Scientist-Artificial Intelligence,IBM,8-9 Yrs,data scientist
Data Scientist-Artificial Intelligence,IBM,8-9 Yrs,kubernetes
Data Scientist-Artificial Intelligence,IBM,8-9 Yrs,python
Data Scientist-Artificial Intelligence,IBM,8-9 Yrs,github
Data Scientist-Artificial Intelligence,IBM,8-9 Yrs,natural language processing
Data Scientist-Artificial Intelligence,IBM,8-9 Yrs,ai
Data Scientist-Artificial Intelligence,IBM,8-9 Yrs,react
Data Scientist-Artificial Intelligence,IBM,8-9 Yrs,bootstrap
Lead Data Scientist - INDIA,Infosys,5-10 Yrs,Data Science
Lead Data Scientist - INDIA,Infosys,5-10 Yrs,Machine Learning
Lead Data Scientist - INDIA,Infosys,5-10 Yrs,Python
Lead Data Scientist - INDIA,Infosys,5-10 Yrs,Science
Lead Data Scientist - INDIA,Infosys,5-10 Yrs,Machine
Lead Data Scientist - INDIA,Infosys,5-10 Yrs,Data
Data Governance Analyst,Barclaycard Payments,3-6 Yrs,risk management
Data Governance Analyst,Barclaycard Payments,3-6 Yrs,python
Data Governance Analyst,Barclaycard Payments,3-6 Yrs,data analytics
Data Governance Analyst,Barclaycard Payments,3-6 Yrs,data analysis
Data Governance Analyst,Barclaycard Payments,3-6 Yrs,documentation
Data Governance Analyst,Barclaycard Payments,3-6 Yrs,business strategy
Data Governance Analyst,Barclaycard Payments,3-6 Yrs,data warehousing
Data Governance Analyst,Barclaycard Payments,3-6 Yrs,data pipeline
Pricing and Data Science Specialist,Sulzer,6-10 Yrs,Pricing Analytics
Pricing and Data Science Specialist,Sulzer,6-10 Yrs,Machine Learning
Pricing and Data Science Specialist,Sulzer,6-10 Yrs,Python
Pricing and Data Science Specialist,Sulzer,6-10 Yrs,Pricing Analysis
Pricing and Data Science Specialist,Sulzer,6-10 Yrs,B2B
Pricing and Data Science Specialist,Sulzer,6-10 Yrs,Advanced Analytics
Pricing and Data Science Specialist,Sulzer,6-10 Yrs,Statistical Modeling
Pricing and Data Science Specialist,Sulzer,6-10 Yrs,Data Analytics
Lead Data Scientist- Gen AI,Fractal Analytics,10-16 Yrs,Generative Ai
Lead Data Scientist- Gen AI,Fractal Analytics,10-16 Yrs,Natural Language Processing
Lead Data Scientist- Gen AI,Fractal Analytics,10-16 Yrs,Data Science
Lead Data Scientist- Gen AI,Fractal Analytics,10-16 Yrs,Tensorflow
Lead Data Scientist- Gen AI,Fractal Analytics,10-16 Yrs,Neural Networks
Lead Data Scientist- Gen AI,Fractal Analytics,10-16 Yrs,Bert
Lead Data Scientist- Gen AI,Fractal Analytics,10-16 Yrs,Machine Learning
Lead Data Scientist- Gen AI,Fractal Analytics,10-16 Yrs,Deep Learning
LEAD DATA SCIENTIST,Coforge,6-11 Yrs,algorithms
LEAD DATA SCIENTIST,Coforge,6-11 Yrs,python
LEAD DATA SCIENTIST,Coforge,6-11 Yrs,predictive analytics
LEAD DATA SCIENTIST,Coforge,6-11 Yrs,big data technologies
LEAD DATA SCIENTIST,Coforge,6-11 Yrs,machine learning
LEAD DATA SCIENTIST,Coforge,6-11 Yrs,nosql
LEAD DATA SCIENTIST,Coforge,6-11 Yrs,analytics
LEAD DATA SCIENTIST,Coforge,6-11 Yrs,data quality
Data Scientist + Machine Learning (5-10 Years),Infosys,5-10 Yrs,Data Science
Data Scientist + Machine Learning (5-10 Years),Infosys,5-10 Yrs,Machine Learning
Data Scientist + Machine Learning (5-10 Years),Infosys,5-10 Yrs,Natural Language Processing
Data Scientist + Machine Learning (5-10 Years),Infosys,5-10 Yrs,Deep Learning
Data Scientist + Machine Learning (5-10 Years),Infosys,5-10 Yrs,Python
Data Scientist + Machine Learning (5-10 Years),Infosys,5-10 Yrs,Data
Data Scientist + Machine Learning (5-10 Years),Infosys,5-10 Yrs,Machine
Data Scientist + Machine Learning (5-10 Years),Infosys,5-10 Yrs,Science
AI Sr. Developer,Tata Consultancy Services,5-10 Yrs,Data Science
AI Sr. Developer,Tata Consultancy Services,5-10 Yrs,Pytorch
AI Sr. Developer,Tata Consultancy Services,5-10 Yrs,Large Language Model
AI Sr. Developer,Tata Consultancy Services,5-10 Yrs,Python
AI Sr. Developer,Tata Consultancy Services,5-10 Yrs,Tensorflow
AI Sr. Developer,Tata Consultancy Services,5-10 Yrs,Artificial Intelligence
AI Sr. Developer,Tata Consultancy Services,5-10 Yrs,Advanced Analytics
AI Sr. Developer,Tata Consultancy Services,5-10 Yrs,Data Analytics
GDS Consulting - AIA - Data Science - Manager,EY,8-11 Yrs,Solution architecture
GDS Consulting - AIA - Data Science - Manager,EY,8-11 Yrs,GIT
GDS Consulting - AIA - Data Science - Manager,EY,8-11 Yrs,Consulting
GDS Consulting - AIA - Data Science - Manager,EY,8-11 Yrs,Machine learning
GDS Consulting - AIA - Data Science - Manager,EY,8-11 Yrs,Data processing
GDS Consulting - AIA - Data Science - Manager,EY,8-11 Yrs,Analytics
GDS Consulting - AIA - Data Science - Manager,EY,8-11 Yrs,Monitoring
GDS Consulting - AIA - Data Science - Manager,EY,8-11 Yrs,Python
Senior Data Scientist,Mastercard,6-9 Yrs,data scientist
Senior Data Scientist,Mastercard,6-9 Yrs,hive
Senior Data Scientist,Mastercard,6-9 Yrs,python
Senior Data Scientist,Mastercard,6-9 Yrs,project management
Senior Data Scientist,Mastercard,6-9 Yrs,data analytics
Senior Data Scientist,Mastercard,6-9 Yrs,technical leadership
Senior Data Scientist,Mastercard,6-9 Yrs,ai
Senior Data Scientist,Mastercard,6-9 Yrs,databricks
Data Science Professional,Capgemini,4-8 Yrs,data science
Data Science Professional,Capgemini,4-8 Yrs,hive
Data Science Professional,Capgemini,4-8 Yrs,nltk
Data Science Professional,Capgemini,4-8 Yrs,numpy
Data Science Professional,Capgemini,4-8 Yrs,deep learning
Data Science Professional,Capgemini,4-8 Yrs,tensorflow
Data Science Professional,Capgemini,4-8 Yrs,spacy
Data Science Professional,Capgemini,4-8 Yrs,gcp
Senior Data Analyst,EXL,2-6 Yrs,python
Senior Data Analyst,EXL,2-6 Yrs,data analysis
Senior Data Analyst,EXL,2-6 Yrs,data management
Senior Data Analyst,EXL,2-6 Yrs,data analytics
Senior Data Analyst,EXL,2-6 Yrs,business requirements
Senior Data Analyst,EXL,2-6 Yrs,data validation
Senior Data Analyst,EXL,2-6 Yrs,data mining
Senior Data Analyst,EXL,2-6 Yrs,bi
Senior Data Scientist,Red Hat,4-7 Yrs,data scientist
Senior Data Scientist,Red Hat,4-7 Yrs,kubernetes
Senior Data Scientist,Red Hat,4-7 Yrs,python
Senior Data Scientist,Red Hat,4-7 Yrs,github
Senior Data Scientist,Red Hat,4-7 Yrs,project management
Senior Data Scientist,Red Hat,4-7 Yrs,data analytics
Senior Data Scientist,Red Hat,4-7 Yrs,data analysis
Senior Data Scientist,Red Hat,4-7 Yrs,natural language processing
Data Scientist,EXL,2-5 Yrs,Object oriented design
Data Scientist,EXL,2-5 Yrs,Data analysis
Data Scientist,EXL,2-5 Yrs,Testing tools
Data Scientist,EXL,2-5 Yrs,Machine learning
Data Scientist,EXL,2-5 Yrs,Data structures
Data Scientist,EXL,2-5 Yrs,Troubleshooting
Data Scientist,EXL,2-5 Yrs,JIRA
Data Scientist,EXL,2-5 Yrs,Technical support
